Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
158,Neto Costa,br BRA,FW,Athletic,28-302,1997,32,12,1224,13.6,7,0,7,5,2,2,5,0,0.51,0.00,0.51,0.37,0.37,Matches
159,Pedro Costa,br BRA,DF,Remo,32-085,1993,12,3,489,5.4,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches
160,Sánchez Costa,br BRA,"DF,MF",Volta Redonda,30-043,1995,31,29,2460,27.3,2,2,4,1,1,1,4,0,0.07,0.07,0.15,0.04,0.11,Matches
161,Gustavo Coutinho,br BRA,FW,Coritiba,26-295,1999,36,21,1818,20.2,5,2,7,4,1,1,2,0,0.25,0.10,0.35,0.20,0.30,Matches
162,Alejo Cruz,uy URU,MF,Atl Goianiense,25-070,2000,9,3,406,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
163,Alessio da Cruz,cv CPV,MF,Athletic,28-296,1997,11,6,487,5.4,1,0,1,1,0,0,4,0,0.18,0.00,0.18,0.18,0.18,Matches
164,João Cruz,br BRA,"MF,FW",Ath Paranaense,19-182,2006,14,3,455,5.1,0,1,1,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches
165,Nathan Cruz,br BRA,FW,Cuiabá,18-269,2007,7,0,115,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
166,Crystopher,br BRA,MF,CRB,27-156,1998,20,14,1344,14.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
167,Adailson Dadá,br BRA,"MF,FW",CRB,28-275,1997,22,13,1154,12.8,3,2,5,3,0,0,1,0,0.23,0.16,0.39,0.23,0.39,Matches
168,Dalberson,br BRA,GK,América (MG),28-301,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
169,Gustavo Daniel,br BRA,DF,Atl Goianiense,20-248,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
170,Danielzinho,br BRA,MF,Atl Goianiense,23-135,2002,4,2,147,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
171,Danielzinho,br BRA,MF,CRB,29-303,1996,33,33,2551,28.3,3,6,9,3,0,0,8,0,0.11,0.21,0.32,0.11,0.32,Matches
172,Dantas,br BRA,DF,Novorizontino,21-108,2004,24,24,2031,22.6,2,0,2,2,0,0,8,2,0.09,0.00,0.09,0.09,0.09,Matches
173,Caio Dantas,br BRA,FW,Atl Goianiense,32-264,1993,8,5,392,4.4,1,0,1,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches
174,Caio Dantas,br BRA,FW,Novorizontino,32-264,1993,7,5,429,4.8,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches
175,Darilson,br BRA,MF,Remo,26-133,1999,2,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Darlisson,br BRA,DF,CRB,21-344,2003,3,1,109,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
177,David,br BRA,"FW,MF",América (MG),25-305,2000,4,0,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
178,David,br BRA,MF,CRB,25-305,2000,5,3,282,3.1,1,0,1,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches
179,David,br BRA,MF,Cuiabá,18-244,2007,23,14,1311,14.6,1,1,2,1,0,0,7,0,0.07,0.07,0.14,0.07,0.14,Matches
180,Matheus Davó,br BRA,FW,Remo,26-086,1999,12,8,760,8.4,2,0,2,2,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches
181,Dellatorre,br BRA,FW,Coritiba,33-193,1992,23,13,1063,11.8,4,0,4,4,0,0,3,0,0.34,0.00,0.34,0.34,0.34,Matches
182,Pedro Delvalle,py PAR,MF,Paysandu,31-308,1994,4,2,155,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
183,Dener,br BRA,MF,Volta Redonda,33-242,1992,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
184,Dener,br BRA,MF,Amazonas,27-225,1998,4,2,141,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
185,Denilson,br BRA,FW,Paysandu,27-248,1998,5,3,170,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
186,Denilson,br BRA,MF,Cuiabá,24-232,2001,33,33,2607,29.0,0,1,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,Matches
187,Júnior Dênis,br BRA,GK,Ferroviária,27-092,1998,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
188,Denner,br BRA,MF,Paysandu,25-314,1999,18,14,1032,11.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
189,Dentinho,br BRA,MF,Chapecoense,28-187,1997,9,2,225,2.5,0,1,1,0,0,0,1,0,0.00,0.40,0.40,0.00,0.40,Matches
190,Leonardo Derik,br BRA,"MF,DF",Ath Paranaense,20-109,2005,13,9,830,9.2,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
191,DG,br BRA,DF,Goiás,24-226,2001,2,2,147,1.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
192,DG,br BRA,"DF,MF",Avaí,24-226,2001,14,10,860,9.6,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
193,Arthur Dias,br BRA,DF,Ath Paranaense,18-214,2007,15,14,1196,13.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
194,Jean Dias,br BRA,"MF,DF",Atl Goianiense,35-019,1990,13,9,800,8.9,0,1,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches
195,Lucas Dias,br BRA,DF,Criciúma,30-110,1995,6,5,408,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
196,Digão,br BRA,DF,Amazonas,29-027,1996,3,2,161,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
197,Kauã Diniz Rocha,br BRA,MF,América (MG),21-248,2004,24,15,1444,16.0,2,0,2,2,0,0,8,2,0.12,0.00,0.12,0.12,0.12,Matches
198,Diogo,br BRA,MF,Amazonas,32-098,1993,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
199,Diogo,br BRA,FW,Paysandu,28-341,1996,17,14,1264,14.0,6,0,6,6,0,0,1,0,0.43,0.00,0.43,0.43,0.43,Matches
200,Dioran,br BRA,FW,CRB,22-252,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Dodô,br BRA,MF,Remo,31-066,1994,8,1,150,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
202,Dodô,br BRA,MF,Vila Nova,24-148,2001,31,18,1745,19.4,3,4,7,1,2,2,2,0,0.15,0.21,0.36,0.05,0.26,Matches
203,Eduardo Doma,br BRA,DF,Chapecoense,27-073,1998,29,24,2343,26.0,3,0,3,3,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches
204,Gabriel Domingos,br BRA,MF,Amazonas,24-274,2001,16,11,931,10.3,1,1,2,1,0,0,2,0,0.10,0.10,0.19,0.10,0.19,Matches
205,Rafael Donato,br BRA,DF,Novorizontino,36-238,1989,13,10,898,10.0,1,0,1,1,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches
206,Mailton dos Santos,br BRA,"MF,DF",Chapecoense,27-163,1998,20,20,1625,18.1,6,5,11,6,0,0,4,0,0.33,0.28,0.61,0.33,0.61,Matches
207,Renan dos Santos,br BRA,GK,Amazonas,36-176,1989,16,16,1378,15.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
208,Alejo Dramisino,ar ARG,MF,Botafogo (SP),25-205,2000,25,14,1286,14.3,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,Matches
209,Jean Drosny,br BRA,GK,Volta Redonda,31-284,1994,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
210,Eduardo Du,br BRA,DF,Volta Redonda,24-152,2001,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
211,Dudu,br BRA,"MF,FW",Ath Paranaense,19-313,2006,18,7,815,9.1,3,0,3,3,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
212,Riza Durmisi,dk DEN,DF,Amazonas,31-306,1994,4,3,168,1.9,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
213,Pablo Dyego,br BRA,"MF,FW",Novorizontino,31-247,1994,21,10,1129,12.5,4,0,4,4,0,0,1,0,0.32,0.00,0.32,0.32,0.32,Matches
214,Edinho,br BRA,MF,Paysandu,31-094,1994,4,1,120,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
215,Edson,br BRA,DF,Botafogo (SP),34-132,1991,16,12,1024,11.4,0,0,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches
216,Edu,br BRA,FW,Cuiabá,32-250,1993,12,4,546,6.1,1,1,2,0,1,1,1,0,0.16,0.16,0.33,0.00,0.16,Matches
217,Carlos Eduardo,br BRA,MF,Paysandu,24-194,2001,5,1,130,1.4,0,1,1,0,0,0,2,0,0.00,0.69,0.69,0.00,0.69,Matches
218,Lucas Eduardo,br BRA,MF,Cuiabá,21-301,2004,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
219,Lucas Eduardo,br BRA,MF,Avaí,21-301,2004,5,1,120,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
220,Elias,br BRA,DF,Vila Nova,26-117,1999,33,33,2878,32.0,1,0,1,1,0,0,10,1,0.03,0.00,0.03,0.03,0.03,Matches
221,Fernando Elizari,ar ARG,MF,América (MG),34-219,1991,24,12,1105,12.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
222,Alan Empereur,br BRA,DF,Cuiabá,31-245,1994,21,21,1776,19.7,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches
223,Enzo,br BRA,MF,Vila Nova,22-194,2003,2,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
224,Eric,br BRA,DF,Ferroviária,25-095,2000,17,11,986,11.0,0,1,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches
225,Ericson,br BRA,DF,Botafogo (SP),26-183,1999,23,20,1804,20.0,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Erik,br BRA,DF,Ferroviária,20-206,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
227,Joseph Espinoza,ec ECU,MF,Paysandu,25-131,2000,2,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
228,Lucas Esquivel,ar ARG,"DF,MF",Ath Paranaense,24-027,2001,23,21,1850,20.6,0,5,5,0,0,0,4,1,0.00,0.24,0.24,0.00,0.24,Matches
229,Everaldo,br BRA,"FW,MF",Coritiba,31-166,1994,10,0,148,1.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
230,Everton,br BRA,"MF,DF",Chapecoense,30-214,1995,21,5,709,7.9,1,2,3,1,0,0,3,0,0.13,0.25,0.38,0.13,0.38,Matches
231,Ezequiel,br BRA,"MF,FW",Athletic,27-246,1998,18,4,497,5.5,1,2,3,1,0,0,0,1,0.18,0.36,0.54,0.18,0.54,Matches
232,Diego Fabián Torres,ar ARG,"MF,FW",Vila Nova,35-004,1990,6,3,242,2.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
233,Fabiano,br BRA,DF,Amazonas,35-266,1990,29,29,2515,27.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
234,Bruno Fabiano Alves,br BRA,DF,Cuiabá,34-208,1991,24,21,1895,21.1,3,1,4,3,0,0,5,0,0.14,0.05,0.19,0.14,0.19,Matches
235,Fabinho,br BRA,"FW,MF",América (MG),25-357,1999,12,9,769,8.5,3,2,5,2,1,1,1,1,0.35,0.23,0.59,0.23,0.47,Matches
236,Fabrício,br BRA,DF,Volta Redonda,35-263,1990,13,12,957,10.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
237,Fabricio,br BRA,MF,Criciúma,19-259,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
238,Fabrício,br BRA,"MF,FW",Ferroviária,28-232,1997,15,12,886,9.8,3,4,7,2,1,1,4,1,0.30,0.41,0.71,0.20,0.61,Matches
239,Rodrigo Fagundes,br BRA,DF,Criciúma,38-245,1987,34,34,3044,33.8,6,2,8,6,0,0,6,0,0.18,0.06,0.24,0.18,0.24,Matches
240,Falcão,br BRA,MF,Ath Paranaense,27-210,1998,9,7,552,6.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
241,Vinícius Faria,br BRA,"MF,FW",Paysandu,25-360,1999,16,3,410,4.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
242,Willian Farias,br BRA,MF,Novorizontino,36-157,1989,15,6,621,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
243,Gabriel Feliciano,br BRA,DF,Operário,24-107,2001,21,14,1357,15.1,0,2,2,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches
244,Juan Felipe Aguirre,co COL,DF,Ath Paranaense,29-073,1996,15,12,1066,11.8,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
245,Luiz Felipe,br BRA,DF,Goiás,32-062,1993,9,7,611,6.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
246,Matheus Felipe,br BRA,DF,Atl Goianiense,27-001,1998,13,10,1007,11.2,1,0,1,1,0,0,3,1,0.09,0.00,0.09,0.09,0.09,Matches
247,Felipinho,br BRA,MF,Ath Paranaense,24-023,2001,29,24,1963,21.8,0,1,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matches
248,Fernando,br BRA,"DF,MF",Ath Paranaense,26-057,1999,8,6,447,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
249,Fernando,br BRA,MF,Amazonas,32-287,1993,7,3,370,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
250,Luiz Fernando,br BRA,"MF,FW",Ath Paranaense,29-025,1996,31,23,1833,20.4,3,6,9,3,0,0,4,0,0.15,0.29,0.44,0.15,0.44,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Luiz Fernando,br BRA,MF,CRB,53-356,1971,3,0,18,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
252,Gabriel Ferreira,br BRA,DF,Athletic,28-223,1997,6,4,386,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
253,Jean Carlos Alves Ferreira,br BRA,"MF,FW",Goiás,20-186,2005,8,2,262,2.9,1,0,1,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches
254,Nicolás Ferreira,uy URU,"MF,FW",Remo,23-276,2002,15,13,999,11.1,2,3,5,2,0,0,0,0,0.18,0.27,0.45,0.18,0.45,Matches
255,Tom Fielding,br BRA,DF,Vila Nova,,,4,2,195,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
256,Figueiredo,br BRA,"MF,FW",América (MG),24-088,2001,21,19,1664,18.5,4,3,7,2,2,2,1,0,0.22,0.16,0.38,0.11,0.27,Matches
257,Tobias Figueiredo,pt POR,DF,Ath Paranaense,31-281,1994,4,3,278,3.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
258,Adriano Filho,br BRA,MF,Criciúma,21-149,2004,1,0,32,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
259,Luiz Filipe,br BRA,MF,Athletic,24-166,2001,5,2,255,2.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
260,André Filipinho,br BRA,MF,Criciúma,28-301,1997,22,20,1682,18.7,0,5,5,0,0,0,5,1,0.00,0.27,0.27,0.00,0.27,Matches
261,Nathan Fogaça,br BRA,"FW,MF",Novorizontino,26-154,1999,15,10,824,9.2,6,0,6,6,0,0,2,0,0.66,0.00,0.66,0.66,0.66,Matches
262,Willian Formiga,br BRA,DF,Vila Nova,30-292,1995,27,27,2300,25.6,0,0,0,0,0,0,11,1,0.00,0.00,0.00,0.00,0.00,Matches
263,Hernâni Fortes,pt POR,"FW,MF",Ferroviária,34-082,1991,5,0,115,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
264,Fransérgio,br BRA,MF,Operário,35-023,1990,11,7,665,7.4,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
265,Freitas,br BRA,MF,Remo,22-251,2003,3,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
266,Gonzalo Freitas,uy URU,"MF,DF",Goiás,34-039,1991,20,9,931,10.3,1,0,1,1,0,0,6,0,0.10,0.00,0.10,0.10,0.10,Matches
267,Luan Freitas,br BRA,DF,Paysandu,24-294,2001,17,15,1407,15.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
268,Matheus Frizzo,br BRA,"MF,FW",Novorizontino,27-109,1998,33,27,2143,23.8,5,2,7,2,3,3,4,0,0.21,0.08,0.29,0.08,0.17,Matches
269,Diego Fumaca,br BRA,MF,Athletic,30-327,1994,11,8,758,8.4,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
270,Marquinhos Gabriel,br BRA,MF,Avaí,35-112,1990,35,35,3093,34.4,4,6,10,4,0,0,4,0,0.12,0.17,0.29,0.12,0.29,Matches
271,Tevis Gabriel,br BRA,"MF,FW",Ath Paranaense,19-286,2006,14,4,510,5.7,1,1,2,1,0,0,0,0,0.18,0.18,0.35,0.18,0.35,Matches
272,Thalisson Gabriel,br BRA,DF,Paysandu,23-294,2002,22,22,1901,21.1,1,1,2,1,0,0,4,1,0.05,0.05,0.09,0.05,0.09,Matches
273,Zé Gabriel,br BRA,"DF,MF",Criciúma,26-293,1999,10,9,675,7.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
274,Léo Gamalho,br BRA,FW,Botafogo (SP),39-284,1986,8,7,572,6.4,3,0,3,1,2,2,0,0,0.47,0.00,0.47,0.16,0.16,Matches
275,Maurício Garcez,br BRA,"MF,FW",Paysandu,28-239,1997,22,21,1836,20.4,7,4,11,6,1,2,1,0,0.34,0.20,0.54,0.29,0.49,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Esli García,ve VEN,MF,Goiás,25-119,2000,11,0,252,2.8,1,0,1,1,0,0,1,0,0.36,0.00,0.36,0.36,0.36,Matches
277,Wesley Gasolina,br BRA,DF,Athletic,25-242,2000,19,11,985,10.9,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches
278,Gaspar,br BRA,FW,Avaí,23-102,2002,18,0,321,3.6,1,1,2,1,0,0,1,0,0.28,0.28,0.56,0.28,0.56,Matches
279,Léo Gaúcho,br BRA,FW,Operário,24-099,2001,8,5,434,4.8,2,0,2,2,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches
280,Rafael Gava,br BRA,MF,Goiás,32-174,1993,28,22,1861,20.7,2,4,6,2,0,0,1,0,0.10,0.19,0.29,0.10,0.29,Matches
281,Gazão,br BRA,MF,CRB,23-319,2001,3,0,38,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
282,Gegê,br BRA,MF,CRB,31-286,1994,29,21,1762,19.6,4,2,6,4,0,0,6,0,0.20,0.10,0.31,0.20,0.31,Matches
283,Rodrigo Gelado,br BRA,DF,Athletic,22-043,2003,27,23,2155,23.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
284,Geovane,br BRA,MF,Coritiba,36-263,1989,15,1,322,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
285,Francisco Geraldes,pt POR,MF,Athletic,30-206,1995,8,2,316,3.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
286,Getúlio,br BRA,"MF,FW",Chapecoense,28-153,1997,5,2,146,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
287,Jaime Giraldo,co COL,DF,Operário,27-275,1998,12,12,967,10.7,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
288,Allan Godói,br BRA,DF,Operário,32-220,1993,10,10,900,10.0,0,1,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matches
289,Sebastián Gómez,co COL,MF,Coritiba,29-160,1996,32,32,2686,29.8,2,1,3,2,0,0,9,1,0.07,0.03,0.10,0.07,0.10,Matches
290,Diego Gonçalves,br BRA,"MF,FW",Criciúma,31-111,1994,35,33,2747,30.5,9,3,12,8,1,2,5,0,0.29,0.10,0.39,0.26,0.36,Matches
291,Georgemy Gonçalves,br BRA,GK,Criciúma,30-087,1995,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
292,Mateus Gonçalves Martins,br BRA,MF,Athletic,31-043,1994,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
293,Pedro Gonçalves,br BRA,MF,Paysandu,18-003,2007,4,2,240,2.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
294,Vagner Gonçalves,cv CPV,"FW,MF",Amazonas,29-304,1996,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
295,Cristian González,uy URU,DF,Remo,29-110,1996,3,2,172,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
296,Felipe Guimarães,br BRA,DF,Coritiba,21-216,2004,2,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
297,Leo Guimarães,br BRA,GK,Atl Goianiense,23-189,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
298,Philippe Guimarães,br BRA,MF,Amazonas,34-237,1991,5,3,195,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
299,Gustavinho,br BRA,MF,América (MG),24-012,2001,2,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
300,Gustavo,br BRA,GK,América (MG),32-245,1993,12,12,1080,12.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,Habraão,br BRA,DF,Ath Paranaense,24-137,2001,14,14,1097,12.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
302,Halls,br BRA,GK,Vila Nova,26-146,1999,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
303,Ezequiel Ham,sy SYR,MF,Atl Goianiense,31-245,1994,10,4,434,4.8,0,1,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches
304,Hayner,br BRA,DF,CRB,30-039,1995,17,6,696,7.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
305,Héber,br BRA,FW,América (MG),34-092,1991,5,1,136,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
306,Thiago Heleno,br BRA,DF,Paysandu,37-054,1988,11,9,845,9.4,1,1,2,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,Matches
307,Heliardo,br BRA,FW,Volta Redonda,33-331,1991,3,3,195,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
308,Henri,br BRA,DF,CRB,23-264,2002,34,34,3060,34.0,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches
309,Dalbert Henrique,br BRA,DF,América (MG),32-063,1993,3,1,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
310,Fernando Henrique,br BRA,MF,CRB,24-162,2001,9,4,330,3.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
311,Igor Henrique,br BRA,MF,Vila Nova,33-325,1991,26,23,1702,18.9,3,0,3,3,0,0,6,1,0.16,0.00,0.16,0.16,0.16,Matches
312,Luiz Henrique,br BRA,"DF,MF",Criciúma,26-237,1999,19,9,875,9.7,0,1,1,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches
313,Marcelo Henrique,br BRA,DF,Cuiabá,20-254,2005,11,9,719,8.0,0,1,1,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches
314,Ronaldo Henrique,br BRA,MF,Paysandu,31-136,1994,15,12,886,9.8,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
315,Breno Herculano,br BRA,FW,Goiás,26-267,1999,1,0,16,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
316,Breno Herculano,br BRA,FW,CRB,26-267,1999,25,11,1052,11.7,5,0,5,5,0,0,4,0,0.43,0.00,0.43,0.43,0.43,Matches
317,Marcelo Hermes,br BRA,"MF,DF",Criciúma,30-282,1995,12,12,1080,12.0,2,3,5,2,0,1,2,0,0.17,0.25,0.42,0.17,0.42,Matches
318,Diego Hernández,uy URU,"MF,FW",Remo,25-141,2000,13,10,715,7.9,3,2,5,3,0,0,3,0,0.38,0.25,0.63,0.38,0.63,Matches
