Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
37,Yago Andrade,br BRA,MF,América (MG),22-221,2003,12,1,181,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
38,André,br BRA,DF,Operário,26-168,1999,9,2,323,3.6,1,0,1,1,0,0,4,1,0.28,0.00,0.28,0.28,0.28,Matches
39,Andrey,br BRA,"DF,MF",Avaí,23-277,2002,14,11,1072,11.9,1,1,2,1,0,0,0,0,0.08,0.08,0.17,0.08,0.17,Matches
40,Luan Andrey,br BRA,FW,Vila Nova,19-098,2006,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Paulo Vítor Fagundes dos Anjos,br BRA,GK,Atl Goianiense,36-354,1988,23,23,2062,22.9,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
42,Anthony,br BRA,DF,Goiás,20-121,2005,7,2,231,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Maurício Antônio,br BRA,DF,Paysandu,33-277,1992,15,12,1184,13.2,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
44,Rodrigo Antonio Rodrigues,br BRA,"MF,FW",Operário,25-203,2000,31,26,1941,21.6,5,1,6,5,0,0,6,0,0.23,0.05,0.28,0.23,0.28,Matches
45,David Antunes,ad AND,MF,Chapecoense,25-159,2000,4,4,224,2.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Yuri Alves de Aquino,br BRA,MF,Atl Goianiense,19-065,2006,16,9,780,8.7,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches
47,Joaquín Ariel Novillo,ar ARG,DF,Paysandu,27-264,1998,15,14,1134,12.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
48,Arilson,br BRA,MF,Vila Nova,31-345,1993,13,7,637,7.1,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches
49,Arthur,br BRA,FW,América (MG),22-243,2003,18,9,854,9.5,2,0,2,2,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches
50,Arthur,br BRA,"FW,MF",Goiás,33-148,1992,23,5,741,8.2,3,1,4,3,0,0,0,0,0.36,0.12,0.49,0.36,0.49,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Arthur,br BRA,MF,Cuiabá,31-234,1994,3,0,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Léo Ataíde,br BRA,DF,Cuiabá,21-295,2004,12,6,555,6.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
53,Giovanni Augusto,br BRA,"MF,FW",Chapecoense,36-066,1989,30,30,2329,25.9,2,10,12,2,0,0,7,0,0.08,0.39,0.46,0.08,0.46,Matches
54,Douglas Baggio,br BRA,"FW,MF",Botafogo (SP),30-281,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Douglas Baggio,br BRA,"MF,FW",CRB,30-281,1995,29,17,1249,13.9,4,0,4,3,1,1,5,0,0.29,0.00,0.29,0.22,0.22,Matches
56,Gabriel Bahia,br BRA,DF,Volta Redonda,26-351,1998,17,17,1449,16.1,1,0,1,1,0,0,6,1,0.06,0.00,0.06,0.06,0.06,Matches
57,Willian Bahia,br BRA,DF,CRB,23-269,2002,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Guilherme Baldória,br BRA,DF,Goiás,20-203,2005,9,2,250,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Pedro Balotelli,br BRA,FW,Novorizontino,20-299,2005,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
60,Vinícius Barata,br BRA,MF,CRB,26-271,1999,11,1,294,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
61,Victor Barbara,br BRA,MF,Cuiabá,21-114,2004,11,0,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
62,William Barbio,br BRA,"FW,MF",Amazonas,33-019,1992,7,0,181,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Matheus Barbosa,br BRA,MF,Botafogo (SP),31-084,1994,10,4,343,3.8,1,0,1,1,0,0,2,0,0.26,0.00,0.26,0.26,0.26,Matches
64,Facundo Barcelo,uy URU,FW,Goiás,32-224,1993,8,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
65,Facundo Barcelo,uy URU,FW,CRB,32-224,1993,6,3,243,2.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Pedro Barcelos,br BRA,DF,América (MG),29-295,1996,1,0,25,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Rafael Barcelos,br BRA,DF,América (MG),21-289,2004,3,1,123,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Bruno Barra,br BRA,"DF,MF",Volta Redonda,29-213,1996,16,12,1122,12.5,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches
69,Barreto,br BRA,MF,Avaí,29-335,1995,10,7,619,6.9,2,1,3,2,0,0,1,0,0.29,0.15,0.44,0.29,0.44,Matches
70,Lucas Barreto,br BRA,GK,Atl Goianiense,23-265,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
71,Vitor Barreto,br BRA,FW,Ferroviária,25-223,2000,13,2,380,4.2,1,0,1,1,0,0,2,1,0.24,0.00,0.24,0.24,0.24,Matches
72,Francisco Barrios,uy URU,MF,Atl Goianiense,23-264,2002,1,0,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Cauan Barros,br BRA,MF,América (MG),21-188,2004,17,15,1394,15.5,3,0,3,3,0,0,6,0,0.19,0.00,0.19,0.19,0.19,Matches
