Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
41,Keny Arroyo,ec ECU,FW,Cruzeiro,19-262,2006,7,3,358,4.0,1,1,2,1,0,0,1,0,0.9,0.9,0.8,1.6,16,11,47,0.25,0.25,0.50,0.25,0.50,0.22,0.19,0.41,0.22,0.41,Matches
42,Arthur,br BRA,FW,Sport Recife,22-236,2003,6,1,200,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,1,1,11,0.00,0.00,0.00,0.00,0.00,0.14,0.13,0.27,0.14,0.27,Matches
43,Artur,br BRA,"FW,MF",Botafogo (RJ),27-261,1998,22,17,1476,16.4,2,4,6,2,0,0,2,0,3.6,3.6,2.9,6.4,57,60,151,0.12,0.24,0.37,0.12,0.37,0.22,0.18,0.39,0.22,0.39,Matches
44,Rodrigo Atencio,ar ARG,"MF,FW",Sport Recife,23-126,2002,18,2,542,6.0,0,0,0,0,0,0,1,0,1.0,1.0,0.5,1.6,18,40,44,0.00,0.00,0.00,0.00,0.00,0.17,0.09,0.26,0.17,0.26,Matches
45,Loide Augusto,ao ANG,"FW,MF",Vasco da Gama,25-250,2000,10,2,192,2.1,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,15,5,28,0.00,0.00,0.00,0.00,0.00,0.19,0.08,0.26,0.19,0.26,Matches
46,Leo Augusto Pereira,br BRA,"FW,MF",Vitória,25-127,2000,6,0,166,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,0,16,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches
47,Leo Augusto Pereira,br BRA,"FW,MF",Sport Recife,25-127,2000,10,8,633,7.0,0,1,1,0,0,0,0,0,1.0,1.0,1.0,2.0,18,8,46,0.00,0.14,0.14,0.00,0.14,0.14,0.14,0.28,0.14,0.28,Matches
48,Renato Augusto,br BRA,"MF,FW",Fluminense,37-268,1988,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Gastón Ávila,ar ARG,DF,Fortaleza,24-034,2001,19,17,1601,17.8,0,0,0,0,0,0,3,0,0.5,0.5,0.2,0.6,10,51,15,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches
50,Aylon,br BRA,"FW,MF",Ceará,33-210,1992,19,8,708,7.9,2,0,2,2,0,0,2,0,2.6,2.6,0.1,2.7,8,16,44,0.25,0.00,0.25,0.25,0.25,0.33,0.01,0.34,0.33,0.34,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Matheus Babi,br BRA,FW,Juventude,28-108,1997,17,2,410,4.6,2,0,2,2,0,0,4,0,2.0,2.0,0.1,2.1,1,3,16,0.44,0.00,0.44,0.44,0.44,0.45,0.02,0.47,0.45,0.47,Matches
52,Bahia,br BRA,MF,Corinthians,19-305,2006,2,1,49,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,1,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39,Matches
53,Gabriel Bahia,br BRA,DF,Botafogo (RJ),26-344,1998,3,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
54,Matheus Bahia,br BRA,DF,Ceará,26-084,1999,22,22,1938,21.5,0,1,1,0,0,0,4,0,0.3,0.3,1.6,1.9,42,74,80,0.00,0.05,0.05,0.00,0.05,0.01,0.08,0.09,0.01,0.09,Matches
55,Fabián Balbuena,py PAR,DF,Grêmio,34-072,1991,3,3,225,2.5,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.2,3,7,1,0.40,0.00,0.40,0.40,0.40,0.06,0.01,0.07,0.06,0.07,Matches
56,Gabriel Baralhas,br BRA,MF,Vitória,27-024,1998,22,20,1758,19.5,1,1,2,1,0,0,8,0,1.0,1.0,0.4,1.4,12,66,23,0.05,0.05,0.10,0.05,0.10,0.05,0.02,0.07,0.05,0.07,Matches
57,Danilo Barbosa,br BRA,"DF,MF",Botafogo (RJ),29-248,1996,3,0,39,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
58,Diogo Barbosa,br BRA,DF,Fortaleza,33-078,1992,14,8,810,9.0,1,0,1,1,0,0,1,0,0.7,0.7,0.8,1.4,14,29,40,0.11,0.00,0.11,0.11,0.11,0.07,0.08,0.16,0.07,0.16,Matches
59,Gabriel Barbosa,br BRA,"FW,MF",Cruzeiro,29-065,1996,24,6,796,8.8,6,2,8,5,1,2,5,0,4.9,3.3,1.1,4.4,13,29,40,0.68,0.23,0.90,0.57,0.79,0.55,0.12,0.67,0.37,0.49,Matches
60,Lucas Barbosa,br BRA,"FW,MF",RB Bragantino,24-254,2001,27,24,1767,19.6,2,3,5,2,0,0,9,1,4.5,4.5,1.4,5.8,35,37,126,0.10,0.15,0.25,0.10,0.25,0.23,0.07,0.30,0.23,0.30,Matches
61,Alexander Barboza,ar ARG,DF,Botafogo (RJ),30-232,1995,20,20,1787,19.9,0,0,0,0,0,0,13,0,0.8,0.8,0.1,0.8,17,84,9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
62,Adam Bareiro,py PAR,FW,Fortaleza,29-100,1996,14,3,391,4.3,2,0,2,2,0,1,3,1,4.1,3.2,0.0,3.2,2,7,23,0.46,0.00,0.46,0.46,0.46,0.95,0.00,0.95,0.74,0.74,Matches
63,Chrystian Barletta,br BRA,"FW,MF",Sport Recife,24-121,2001,29,16,1394,15.5,2,0,2,2,0,0,2,0,3.7,3.7,1.8,5.5,64,43,135,0.13,0.00,0.13,0.13,0.13,0.24,0.12,0.35,0.24,0.35,Matches
64,Álvaro Barreal,ar ARG,"FW,MF",Santos,25-078,2000,26,21,1708,19.0,8,1,9,7,1,1,2,0,5.8,5.0,2.9,7.9,24,54,142,0.42,0.05,0.47,0.37,0.42,0.30,0.15,0.46,0.26,0.42,Matches
65,Jordan Barrera,co COL,FW,Botafogo (RJ),19-206,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
66,Cauan Barros,br BRA,MF,Vasco da Gama,21-181,2004,11,10,848,9.4,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.3,2,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
67,Enmerson Batalla,co COL,"FW,MF",Juventude,24-126,2001,22,17,1318,14.6,4,2,6,4,0,0,3,0,1.4,1.4,0.7,2.1,22,34,76,0.27,0.14,0.41,0.27,0.41,0.09,0.05,0.14,0.09,0.14,Matches
68,Paulo Baya,br BRA,FW,Ceará,26-100,1999,10,3,318,3.5,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,5,5,22,0.00,0.00,0.00,0.00,0.00,0.13,0.09,0.22,0.13,0.22,Matches
69,Paulo Baya,br BRA,"MF,FW",Fluminense,26-100,1999,4,0,38,0.4,1,1,2,1,0,0,0,0,0.0,0.0,0.0,0.1,2,1,4,2.37,2.37,4.74,2.37,4.74,0.12,0.03,0.15,0.12,0.15,Matches
70,José Luis Rodríguez Bebanz,uy URU,DF,Vasco da Gama,28-234,1997,19,13,1188,13.2,2,2,4,2,0,0,0,0,0.9,0.9,1.6,2.4,16,33,90,0.15,0.15,0.30,0.15,0.30,0.07,0.12,0.18,0.07,0.18,Matches
71,Erick Belé,br BRA,MF,Palmeiras,18-286,2007,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Luis Benedetti,br BRA,DF,Palmeiras,19-149,2006,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,8,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
73,Alan Benítez,py PAR,"DF,FW",Internacional,31-282,1994,10,5,549,6.1,0,0,0,0,0,0,0,0,0.7,0.7,0.5,1.2,14,22,33,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.20,0.12,0.20,Matches
74,Alexandro Bernabei,ar ARG,DF,Internacional,25-040,2000,23,22,1952,21.7,0,4,4,0,0,0,9,1,1.0,1.0,4.6,5.6,47,102,146,0.00,0.18,0.18,0.00,0.18,0.05,0.21,0.26,0.05,0.26,Matches
75,Facundo Bernal,uy URU,MF,Fluminense,22-074,2003,17,10,954,10.6,0,0,0,0,0,0,6,0,0.5,0.5,0.3,0.7,4,36,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Bernard,br BRA,"MF,FW",Atlético Mineiro,33-056,1992,23,6,685,7.6,0,0,0,0,0,0,2,0,0.7,0.7,1.2,1.9,33,48,55,0.00,0.00,0.00,0.00,0.00,0.09,0.16,0.25,0.09,0.25,Matches
77,Matheus Bianqui,br BRA,"MF,FW",Mirassol,27-276,1998,13,0,147,1.6,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,2,2,12,0.00,0.00,0.00,0.00,0.00,0.71,0.29,1.00,0.71,1.00,Matches
78,Matheus Bidu,br BRA,DF,Corinthians,26-183,1999,21,18,1564,17.4,0,2,2,0,0,0,7,0,1.0,1.0,4.4,5.5,37,60,117,0.00,0.12,0.12,0.00,0.12,0.06,0.26,0.32,0.06,0.32,Matches
79,Biel,br BRA,"FW,MF",Atlético Mineiro,24-216,2001,14,5,491,5.5,0,2,2,0,0,0,1,0,1.4,1.4,2.2,3.6,21,13,50,0.00,0.37,0.37,0.00,0.37,0.26,0.41,0.67,0.26,0.67,Matches
80,Rafael Bilu,br BRA,"MF,FW",Juventude,26-196,1999,10,6,448,5.0,1,0,1,1,0,0,1,0,0.5,0.5,0.4,0.9,13,20,35,0.20,0.00,0.20,0.20,0.20,0.10,0.08,0.18,0.10,0.18,Matches
81,Damián Bobadilla,py PAR,MF,São Paulo,24-115,2001,25,17,1663,18.5,3,1,4,3,0,0,4,0,2.0,2.0,1.2,3.2,16,108,43,0.16,0.05,0.22,0.16,0.22,0.11,0.06,0.17,0.11,0.17,Matches
82,Yannick Bolasie,cd COD,"FW,MF",Cruzeiro,36-163,1989,14,0,143,1.6,0,1,1,0,0,0,1,0,0.5,0.5,0.3,0.8,2,2,12,0.00,0.63,0.63,0.00,0.63,0.30,0.20,0.49,0.30,0.49,Matches
83,Gabriel Bontempo,br BRA,"MF,FW",Santos,20-291,2005,20,9,922,10.2,1,1,2,1,0,0,1,0,1.4,1.4,1.6,3.1,21,52,25,0.10,0.10,0.20,0.10,0.20,0.14,0.16,0.30,0.14,0.30,Matches
84,Thiago Borbas,uy URU,"FW,MF",RB Bragantino,23-210,2002,16,5,556,6.2,1,1,2,1,0,0,4,0,1.9,1.9,0.8,2.7,2,8,30,0.16,0.16,0.32,0.16,0.32,0.30,0.13,0.44,0.30,0.44,Matches
85,Daniel Borges,br BRA,DF,Mirassol,32-225,1993,15,8,859,9.5,2,2,4,2,0,0,2,0,0.4,0.4,1.7,2.2,13,21,30,0.21,0.21,0.42,0.21,0.42,0.05,0.18,0.23,0.05,0.23,Matches
86,Marllon Borges,br BRA,DF,Ceará,33-201,1992,24,23,2077,23.1,2,0,2,2,0,0,3,0,0.6,0.6,0.0,0.6,3,36,1,0.09,0.00,0.09,0.09,0.09,0.02,0.00,0.03,0.02,0.03,Matches
87,Pedro Borges,br BRA,MF,Fortaleza,28-245,1997,1,0,37,0.4,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Pedro Borges,br BRA,MF,Sport Recife,28-245,1997,11,3,373,4.1,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,4,13,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
89,Rafael Borré,co COL,FW,Internacional,30-049,1995,24,16,1436,16.0,5,1,6,4,1,1,3,1,6.9,6.0,1.2,7.1,15,19,83,0.31,0.06,0.38,0.25,0.31,0.43,0.07,0.51,0.37,0.45,Matches
90,Lucas Braga,br BRA,"FW,DF",Vitória,28-358,1996,16,11,867,9.6,1,0,1,1,0,0,1,0,1.7,1.7,0.7,2.4,22,26,44,0.10,0.00,0.10,0.10,0.10,0.18,0.07,0.25,0.18,0.25,Matches
91,Bilal Brahimi,dz ALG,FW,Santos,25-234,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,3,4,0.00,0.00,0.00,0.00,0.00,0.12,0.16,0.28,0.12,0.28,Matches
92,Martin Braithwaite,dk DEN,FW,Grêmio,34-151,1991,18,18,1456,16.2,6,1,7,2,4,4,3,0,6.1,3.0,0.8,3.8,12,27,57,0.37,0.06,0.43,0.12,0.19,0.38,0.05,0.43,0.19,0.24,Matches
93,Gabriel Brazão,br BRA,GK,Santos,25-029,2000,30,30,2677,29.7,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
94,Brenno,br BRA,GK,Fortaleza,26-216,1999,7,7,630,7.0,0,0,0,0,0,0,1,1,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
95,Breno,br BRA,"FW,MF",Fortaleza,29-283,1996,24,21,1686,18.7,5,1,6,5,0,0,4,0,4.6,4.6,1.7,6.3,82,59,146,0.27,0.05,0.32,0.27,0.32,0.25,0.09,0.34,0.25,0.34,Matches
96,Breno,br BRA,MF,Corinthians,20-256,2005,27,25,2104,23.4,1,1,2,1,0,0,9,1,0.8,0.8,2.0,2.7,30,112,58,0.04,0.04,0.09,0.04,0.09,0.03,0.08,0.12,0.03,0.12,Matches
97,Emanuel Brítez,ar ARG,DF,Fortaleza,33-222,1992,13,13,1147,12.7,0,1,1,0,0,0,8,0,0.2,0.2,0.3,0.5,5,40,15,0.00,0.08,0.08,0.00,0.08,0.01,0.03,0.04,0.01,0.04,Matches
98,Bruninho,br BRA,MF,Fortaleza,20-145,2005,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.12,0.03,0.12,Matches
99,Fabrício Bruno,br BRA,DF,Cruzeiro,29-264,1996,27,27,2410,26.8,2,0,2,2,0,0,7,1,1.1,1.1,0.6,1.7,9,90,2,0.07,0.00,0.07,0.07,0.07,0.04,0.02,0.07,0.04,0.07,Matches
100,Gustavo Caballero,py PAR,"FW,DF",Santos,24-043,2001,11,1,306,3.4,1,1,2,1,0,0,1,0,1.0,1.0,0.7,1.6,9,2,29,0.29,0.29,0.59,0.29,0.59,0.28,0.19,0.47,0.28,0.47,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
101,Arthur Cabral,br BRA,FW,Botafogo (RJ),27-192,1998,15,12,1054,11.7,3,2,5,3,0,0,0,0,3.9,3.9,0.8,4.7,12,20,31,0.26,0.17,0.43,0.26,0.43,0.33,0.07,0.40,0.33,0.40,Matches
102,Cacá,br BRA,DF,Corinthians,26-192,1999,17,15,1342,14.9,2,0,2,2,0,0,4,0,1.1,1.1,0.2,1.3,8,36,3,0.13,0.00,0.13,0.13,0.13,0.07,0.02,0.09,0.07,0.09,Matches
103,Raúl Cáceres,py PAR,DF,Vitória,34-046,1991,15,15,1262,14.0,2,1,3,2,0,0,6,0,1.0,1.0,1.4,2.4,18,40,60,0.14,0.07,0.21,0.14,0.21,0.07,0.10,0.17,0.07,0.17,Matches
104,Calebe,br BRA,MF,Fortaleza,25-187,2000,7,2,229,2.5,1,0,1,1,0,0,2,0,0.5,0.5,0.4,0.9,5,6,18,0.39,0.00,0.39,0.39,0.39,0.21,0.16,0.36,0.21,0.36,Matches
105,Jonathan Calleri,ar ARG,FW,São Paulo,32-041,1993,3,2,121,1.3,0,0,0,0,0,1,0,1,0.9,0.1,0.1,0.2,1,2,3,0.00,0.00,0.00,0.00,0.00,0.68,0.07,0.75,0.10,0.16,Matches
106,Camilo,br BRA,"MF,DF",Grêmio,26-253,1999,14,6,700,7.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,5,15,8,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
107,Camutanga,br BRA,DF,Vitória,32-037,1993,9,9,743,8.3,0,0,0,0,0,0,5,0,0.2,0.2,0.0,0.2,2,14,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
108,Luan Cândido,br BRA,DF,Sport Recife,24-274,2001,8,8,688,7.6,1,0,1,1,0,0,1,0,0.9,0.9,0.5,1.3,12,30,20,0.13,0.00,0.13,0.13,0.13,0.11,0.06,0.17,0.11,0.17,Matches
109,Germán Cano,ar ARG,FW,Fluminense,37-274,1988,22,18,1498,16.6,6,0,6,5,1,1,1,0,5.2,4.4,0.7,5.1,6,29,59,0.36,0.00,0.36,0.30,0.30,0.31,0.04,0.35,0.26,0.31,Matches
110,Agustín Canobbio,uy URU,"FW,MF",Fluminense,27-033,1998,24,21,1599,17.8,2,2,4,2,0,0,4,0,2.7,2.7,2.0,4.7,58,41,151,0.11,0.11,0.23,0.11,0.23,0.15,0.11,0.26,0.15,0.26,Matches
111,Aitor Cantalapiedra,es ESP,"MF,FW",Vitória,29-266,1996,12,11,836,9.3,2,3,5,2,0,0,1,0,2.6,2.6,2.0,4.6,11,25,49,0.22,0.32,0.54,0.22,0.54,0.28,0.21,0.49,0.28,0.49,Matches
112,Juninho Capixaba,br BRA,"DF,MF",RB Bragantino,28-120,1997,18,16,1452,16.1,1,0,1,1,0,0,2,0,1.6,1.6,2.4,4.0,28,105,74,0.06,0.00,0.06,0.06,0.06,0.10,0.15,0.25,0.10,0.25,Matches
113,Johan Carbonero,co COL,"FW,MF",Internacional,26-106,1999,18,13,1169,13.0,4,2,6,3,1,1,4,0,3.7,2.9,3.2,6.0,40,63,121,0.31,0.15,0.46,0.23,0.38,0.28,0.24,0.52,0.22,0.46,Matches
114,Felipe Cardoso,br BRA,FW,Vitória,22-244,2003,3,0,78,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,1,7,0.00,0.00,0.00,0.00,0.00,0.09,0.16,0.24,0.09,0.24,Matches
115,Edson Carioca,br BRA,FW,Mirassol,28-122,1997,21,16,1168,13.0,4,2,6,4,0,0,1,0,3.7,3.7,1.8,5.5,36,31,72,0.31,0.15,0.46,0.31,0.46,0.29,0.14,0.42,0.29,0.42,Matches
116,Igor Cariús,br BRA,DF,Sport Recife,32-186,1993,22,17,1428,15.9,1,0,1,1,0,0,2,0,0.9,0.9,0.7,1.6,29,61,67,0.06,0.00,0.06,0.06,0.06,0.05,0.05,0.10,0.05,0.10,Matches
117,Carlinhos,br BRA,FW,Vitória,28-264,1997,6,1,165,1.8,1,0,1,1,0,0,2,1,1.5,1.5,0.0,1.5,0,6,3,0.55,0.00,0.55,0.55,0.55,0.84,0.00,0.84,0.84,0.84,Matches
118,Antonio Carlos,br BRA,DF,Sport Recife,32-241,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
119,Jean Carlos Vicente,br BRA,"MF,FW",Juventude,33-261,1992,7,2,203,2.3,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,2,6,12,0.00,0.00,0.00,0.00,0.00,0.08,0.28,0.36,0.08,0.36,Matches
120,Ruan Carneiro,br BRA,GK,Juventude,35-220,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
121,Jorge Carrascal,co COL,"FW,MF",Flamengo,27-162,1998,10,5,412,4.6,1,4,5,1,0,0,3,0,1.2,1.2,0.8,2.0,12,20,28,0.22,0.87,1.09,0.22,1.09,0.27,0.18,0.44,0.27,0.44,Matches
122,André Carrillo,pe PER,MF,Corinthians,34-142,1991,17,13,1043,11.6,1,0,1,1,0,0,2,0,1.1,1.1,1.4,2.5,26,71,68,0.09,0.00,0.09,0.09,0.09,0.09,0.12,0.21,0.09,0.21,Matches
123,Gabriel Carvalho,br BRA,FW,Internacional,18-078,2007,3,0,72,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,6,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
124,Cássio,br BRA,GK,Cruzeiro,38-150,1987,29,29,2546,28.3,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
125,Iury de Castilho,br BRA,FW,Mirassol,30-058,1995,9,6,499,5.5,1,0,1,1,0,0,2,0,1.5,1.5,0.2,1.7,10,14,26,0.18,0.00,0.18,0.18,0.18,0.27,0.03,0.30,0.27,0.30,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
126,Caue,br BRA,DF,RB Bragantino,18-325,2006,2,0,41,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,4,0,0.00,2.20,2.20,0.00,2.20,0.00,0.11,0.11,0.00,0.11,Matches
127,Murilo Cerqueira,br BRA,DF,Palmeiras,28-221,1997,15,15,1255,13.9,1,1,2,1,0,0,5,0,0.6,0.6,0.8,1.5,2,46,5,0.07,0.07,0.14,0.07,0.14,0.04,0.06,0.10,0.04,0.10,Matches
128,Julio Cesar,br BRA,DF,Fluminense,18-362,2006,3,2,176,2.0,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,11,3,4,0.00,0.51,0.51,0.00,0.51,0.15,0.09,0.24,0.15,0.24,Matches
129,Kayky Chagas,br BRA,"FW,MF",Bahia,22-145,2003,25,8,889,9.9,1,2,3,1,0,0,2,0,1.4,1.4,1.4,2.7,44,32,92,0.10,0.20,0.30,0.10,0.30,0.14,0.14,0.28,0.14,0.28,Matches
130,Gabriel Chapecó,br BRA,GK,Grêmio,25-219,2000,5,5,450,5.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
131,Chico,br BRA,"MF,FW",Mirassol,34-170,1991,11,1,278,3.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,14,14,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
132,Chico,br BRA,DF,Sport Recife,27-050,1998,13,12,1060,11.8,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,15,42,5,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
133,Christian,br BRA,FW,Cruzeiro,24-319,2000,25,24,1943,21.6,4,2,6,4,0,0,8,0,4.8,4.8,3.2,8.0,27,45,124,0.19,0.09,0.28,0.19,0.28,0.22,0.15,0.37,0.22,0.37,Matches
134,Cipriano,br BRA,DF,Juventude,22-360,2002,3,3,189,2.1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
