Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
726,Willian,br BRA,MF,Vitória,32-171,1993,14,10,886,9.8,1,0,1,1,0,0,5,0,0.8,0.8,0.1,0.8,3,25,12,0.10,0.00,0.10,0.10,0.10,0.08,0.01,0.08,0.08,0.08,Matches
727,Willian,br BRA,FW,Grêmio,37-086,1988,3,3,151,1.7,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.5,8,17,12,0.00,0.60,0.60,0.00,0.60,0.01,0.26,0.27,0.01,0.27,Matches
728,Estêvão Willian,br BRA,"MF,FW",Palmeiras,18-193,2007,11,9,831,9.2,0,3,3,0,0,0,3,0,1.2,1.1,2.0,3.1,48,34,93,0.00,0.32,0.32,0.00,0.32,0.13,0.22,0.35,0.12,0.34,Matches
729,Mateus Xavier,br BRA,"FW,MF",Santos,18-127,2007,3,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
730,Samuel Xavier,br BRA,DF,Fluminense,35-150,1990,22,19,1756,19.5,4,1,5,4,0,0,3,0,0.6,0.6,0.9,1.5,45,114,72,0.21,0.05,0.26,0.21,0.26,0.03,0.05,0.08,0.03,0.08,Matches
731,Yago,br BRA,"MF,FW",Mirassol,30-273,1995,16,7,562,6.2,0,1,1,0,0,0,3,0,0.3,0.3,0.5,0.8,9,38,21,0.00,0.16,0.16,0.00,0.16,0.05,0.07,0.12,0.05,0.12,Matches
732,Yago,br BRA,MF,Internacional,18-271,2007,2,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,7,6,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
733,Young,br BRA,GK,São Paulo,23-241,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
734,Vinícius Zanocelo,br BRA,MF,Ceará,24-277,2001,8,5,510,5.7,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,6,28,7,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
735,Lukas Zuccarello,br BRA,FW,Vasco da Gama,18-336,2006,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,Matches
